,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Movie,I Viceré,2007,11.0,tt0196186
1,Movie,Hermano,2007,2.0,tt0206806
2,Movie,Awake,2007,9.0,tt0211933
3,Movie,Partition,2007,2.0,tt0213985
4,Movie,Death and Taxis,2007,5.0,tt0218140
5,Movie,Terra Sonâmbula,2007,5.0,tt0242029
6,Movie,Hitler Meets Christ,2007,3.0,tt0243649
7,Movie,Brooklyn Rules,2007,5.0,tt0283503
8,Movie,Universal Groove,2007,12.0,tt0287075
9,Movie,Before the Devil Knows You're Dead,2007,4.0,tt0292963
10,Movie,The Stonecutter,2007,7.0,tt0299160
11,Movie,Along the Way,2007,10.0,tt0306947
12,Movie,Romantik,2007,3.0,tt0314589
13,Movie,Rising Shores,2007,,tt0314579
14,Movie,Die Unerzogenen,2007,12.0,tt0315236
15,Movie,Cuando ella saltó,2007,11.0,tt0318379
16,Movie,La loma... no todo es lo que aparenta,2007,2.0,tt0323099
17,Movie,La peli,2007,5.0,tt0323609
18,Movie,Bala perdida,2007,11.0,tt0326749
19,Movie,Broke Sky,2007,3.0,tt0337899
20,Movie,The Last New Yorker,2007,2.0,tt0338187
21,Movie,Lucky You,2007,5.0,tt0338216
22,Movie,Machine,2007,3.0,tt0345601
23,Movie,Fighting Words,2007,3.0,tt0354578
24,Movie,Regresados,2007,3.0,tt0362080
25,Movie,Susan Hero,2007,4.0,tt0362209
26,Movie,Light and the Sufferer,2007,9.0,tt0362822
27,Movie,Stompin',2007,,tt0362691
28,Movie,Playas Ball,2007,12.0,tt0368151
29,Movie,I'm Not There,2007,3.0,tt0368794
30,Movie,Hannibal Rising,2007,3.0,tt0367959
31,Movie,The Devil's Muse,2007,,tt0372005
32,Movie,AFR,2007,4.0,tt0369878
33,Movie,D-War,2007,8.0,tt0372873
34,Movie,Crossing,2007,1.0,tt0370433
35,Movie,32A,2007,8.0,tt0370242
36,Movie,Beyond Baklava: The Fairy Tale Story of Sylvia's Baklava,2007,9.0,tt0371407
37,Movie,Red Is the Color of,2007,9.0,tt0373263
38,Movie,Savage Grace,2007,8.0,tt0379976
39,Movie,Melech Shel Kabzanim,2007,9.0,tt0378345
40,Movie,Battle for Finland: Tali-Ihantala 1944,2007,12.0,tt0378848
41,Movie,Tijuana Makes Me Happy,2007,1.0,tt0381704
42,Movie,3:10 to Yuma,2007,9.0,tt0381849
43,Movie,For Pete's Wake!,2007,12.0,tt0382036
44,Movie,Dolina,2007,10.0,tt0383064
45,Movie,Black August,2007,8.0,tt0383929
46,Movie,Bell Witch: The Movie,2007,9.0,tt0385543
47,Movie,Santouri,2007,2.0,tt0385277
48,Movie,13 French Street,2007,11.0,tt0385488
49,Movie,Sicko,2007,11.0,tt0386032
50,Movie,What We Do Is Secret,2007,8.0,tt0384683
51,Movie,Say It in Russian,2007,9.0,tt0386693
52,Movie,King of California,2007,9.0,tt0388182
53,Movie,Bee Movie,2007,12.0,tt0389790
54,Movie,Go Go Tales,2007,6.0,tt0393329
55,Movie,Viva,2007,5.0,tt0393956
56,Movie,Meet the Robinsons,2007,10.0,tt0396555
57,Movie,Blood and Chocolate,2007,1.0,tt0397044
58,Movie,Bad Blood,2007,9.0,tt0397907
59,Movie,Bridge to Terabithia,2007,4.0,tt0398808
60,Movie,Trade,2007,10.0,tt0399095
61,Movie,The Diving Bell and the Butterfly,2007,9.0,tt0401383
62,Movie,Breach,2007,2.0,tt0401997
63,Movie,Gardener of Eden,2007,6.0,tt0403057
64,Movie,The Fall of Night,2007,9.0,tt0404034
65,Movie,El invierno de Gunter,2007,6.0,tt0405051
66,Movie,Signs of Undoing,2007,,tt0405321
67,Movie,Sweeney Todd: The Demon Barber of Fleet Street,2007,2.0,tt0408236
68,Movie,Le quatrième morceau de la femme coupée en trois,2007,3.0,tt0408469
69,Movie,88 Minutes,2007,4.0,tt0411061
70,Movie,The Blue Rose,2007,9.0,tt0412519
71,Movie,Mama's Boy,2007,12.0,tt0415141
72,Movie,Martian Child,2007,11.0,tt0415965
73,Movie,It's All in a Nights Work,2007,3.0,tt0415483
74,Movie,Elizabeth: The Golden Age,2007,12.0,tt0414055
75,Movie,Mongol,2007,8.0,tt0416044
76,Movie,Hounddog,2007,1.0,tt0415856
77,Movie,Resurrecting the Champ,2007,8.0,tt0416185
78,Movie,A londoni férfi,2007,1.0,tt0415127
79,Movie,Tournament of Dreams,2007,4.0,tt0416263
80,Movie,Dark Matter,2007,4.0,tt0416675
81,Movie,Becoming Jane,2007,8.0,tt0416508
82,Movie,Mattie Fresno and the Holoflux Universe,2007,,tt0416966
83,Movie,Dangerous Parking,2007,5.0,tt0417586
84,Movie,From Wharf Rats to Lords of the Docks,2007,3.0,tt0417694
85,Movie,Koreatown,2007,3.0,tt0417875
86,Movie,Jacquou le croquant,2007,1.0,tt0418758
87,Movie,The Kite Runner,2007,1.0,tt0419887
88,Movie,The Cake Eaters,2007,3.0,tt0418586
89,Movie,The Hit,2007,9.0,tt0419168
90,Movie,Corazón marchito,2007,2.0,tt0419656
91,Movie,S. O. S. - Spasite nase duse,2007,7.0,tt0419083
92,Movie,In the Land of Women,2007,4.0,tt0419843
93,Movie,True Love,2007,8.0,tt0420974
94,Movie,Control,2007,10.0,tt0421082
95,Movie,P.O.E.,2007,1.0,tt0420055
96,Movie,Pusinky,2007,4.0,tt0422981
97,Movie,Music Within,2007,1.0,tt0422783
98,Movie,Les fourmis rouges,2007,11.0,tt0425990
99,Movie,Moroz po kozhe,2007,12.0,tt0426114
100,Movie,Charlie Bartlett,2007,2.0,tt0423977
101,Movie,Too Much Too Young,2007,5.0,tt0425546
102,Movie,Noise,2007,11.0,tt0425308
103,Movie,Ghosts of the Heartland,2007,,tt0425063
104,Movie,The Messengers,2007,5.0,tt0425430
105,Movie,August Rush,2007,2.0,tt0426931
106,Movie,Hairspray,2007,8.0,tt0427327
107,Movie,Anka Kusu,2007,11.0,tt0426899
108,Movie,I Believe in America,2007,7.0,tt0427370
109,Movie,The Great Debaters,2007,12.0,tt0427309
110,Movie,The Lookout,2007,8.0,tt0427470
111,Movie,Suburban Girl,2007,10.0,tt0428579
112,Movie,The Kingdom,2007,10.0,tt0431197
113,Movie,P.S. I Love You,2007,12.0,tt0431308
114,Movie,Clubland,2007,6.0,tt0432264
115,Movie,Não Por Acaso,2007,6.0,tt0432988
116,Movie,Vacas gordas,2007,8.0,tt0433118
117,Movie,Real Premonition,2007,,tt0433438
118,Movie,Whisper,2007,5.0,tt0435528
119,Movie,The Invisible,2007,4.0,tt0435670
120,Movie,Everything or Nothing,2007,9.0,tt0436288
121,Movie,The Memory Thief,2007,4.0,tt0437250
122,Movie,Une vieille maîtresse,2007,5.0,tt0437526
123,Movie,All the Days Before Tomorrow,2007,2.0,tt0439115
124,Movie,Goodbye Bafana,2007,9.0,tt0438859
125,Movie,La part animale,2007,10.0,tt0438944
126,Movie,The Dead One,2007,2.0,tt0441022
127,Movie,Gracie,2007,6.0,tt0441007
128,Movie,Death Without Consent,2007,,tt0442084
129,Movie,Pathfinder: Legend of the Ghost Warrior,2007,4.0,tt0446013
130,Movie,Pars vite et reviens tard,2007,1.0,tt0446707
131,Movie,Across the Universe,2007,9.0,tt0445922
132,Movie,Zodiac,2007,5.0,tt0443706
133,Movie,Du levande,2007,3.0,tt0445336
134,Movie,"Have Dreams, Will Travel",2007,10.0,tt0446802
135,Movie,Liebesleben,2007,11.0,tt0443570
136,Movie,Milk and Fashion,2007,6.0,tt0446403
137,Movie,The Assassination of Jesse James by the Coward Robert Ford,2007,11.0,tt0443680
138,Movie,Living Luminaries: On the Serious Business of Happiness,2007,5.0,tt0447431
139,Movie,Los Andes no creen en Dios,2007,3.0,tt0446273
140,Movie,Nightwatching,2007,1.0,tt0446750
141,Movie,Coquelicots,2007,12.0,tt0447614
142,Movie,Lezioni di volo,2007,3.0,tt0447659
143,Movie,Full of It,2007,6.0,tt0446752
144,Movie,The Sandpiper,2007,10.0,tt0448106
145,Movie,Si j'étais toi,2007,10.0,tt0446463
146,Movie,The All Together,2007,5.0,tt0450238
147,Movie,Serial,2007,,tt0450323
148,Movie,Broken Arrows,2007,,tt0447879
149,Movie,Zone libre,2007,1.0,tt0450890
150,Movie,Concursante,2007,3.0,tt0447907
151,Movie,California Dreamin' (Nesfarsit),2007,11.0,tt0449573
152,Movie,The Final Season,2007,10.0,tt0449018
153,Movie,La Vie En Rose,2007,3.0,tt0450188
154,Movie,Brothers Three: An American Gothic,2007,,tt0450962
155,Movie,"Días de mucho, vísperas de nada",2007,2.0,tt0451711
156,Movie,Then She Found Me,2007,7.0,tt0455805
157,Movie,Outlanders,2007,9.0,tt0452661
158,Movie,Lucky Miles,2007,7.0,tt0452644
159,Movie,Gone Baby Gone,2007,1.0,tt0452623
160,Movie,The Home Song Stories,2007,8.0,tt0452631
161,Movie,Dustclouds,2007,,tt0453472
162,Movie,The Hunting Party,2007,4.0,tt0455782
163,Movie,Black Irish,2007,3.0,tt0455915
164,Movie,Snow Angels,2007,3.0,tt0453548
165,Movie,Caótica Ana,2007,6.0,tt0456340
166,Movie,La antena,2007,4.0,tt0454065
167,Movie,"Ma fille, mon ange",2007,2.0,tt0456521
168,Movie,Næste skridt,2007,3.0,tt0454517
169,Movie,Baby,2007,5.0,tt0457286
170,Movie,Paruthiveeran,2007,2.0,tt0458050
171,Movie,"Teresa, el cuerpo de Cristo",2007,3.0,tt0458500
172,Movie,Eklavya,2007,2.0,tt0459605
173,Movie,Boy s tenyu II. Revansh,2007,10.0,tt0459759
174,Movie,Don't Stop Dreaming,2007,3.0,tt0459652
175,Movie,"Gandhi, My Father",2007,7.0,tt0459293
176,Movie,Georg,2007,10.0,tt0459913
177,Movie,Import Export,2007,4.0,tt0459102
178,Movie,The Moon and the Stars,2007,2.0,tt0460873
179,Movie,Ghost Son,2007,5.0,tt0460808
180,Movie,Chaos Theory,2007,10.0,tt0460745
181,Movie,Intervention,2007,1.0,tt0462302
182,Movie,"Romulus, My Father",2007,5.0,tt0462023
183,Movie,White Air,2007,2.0,tt0462611
184,Movie,Jake's Closet,2007,7.0,tt0463536
185,Movie,Descent,2007,4.0,tt0463027
186,Movie,2095,2007,3.0,tt0462155
187,Movie,Fade,2007,8.0,tt0462283
188,Movie,Nevar en Buenos Aires,2007,1.0,tt0462951
189,Movie,W.C.,2007,3.0,tt0462059
190,Movie,Walk the Talk,2007,6.0,tt0462601
191,Movie,The Unknown Trilogy,2007,3.0,tt0462298
192,Movie,Sister's Keeper,2007,6.0,tt0462540
193,Movie,Life Goes On,2007,3.0,tt0462400
194,Movie,After Sex,2007,3.0,tt0465375
195,Movie,"Maradona, la mano di Dio",2007,3.0,tt0465737
196,Movie,Four Last Songs,2007,12.0,tt0465461
197,Movie,Michael Clayton,2007,10.0,tt0465538
198,Movie,El orfanato,2007,5.0,tt0464141
199,Movie,Freedom Writers,2007,3.0,tt0463998
200,Movie,December Boys,2007,9.0,tt0465436
201,Movie,Främmande,2007,3.0,tt0466445
